Country,Source,earliest_date,latest_date,periods_total,periods_present,periods_missing,earliest_date_country,latest_date_country,periods_present_country,periods_total_country,periods_missing_country,earliest_date_population,latest_date_population,earliest_date_country_population,latest_date_country_population
Barbados,UN,1969-01-01,2022-12-01,648,312,336,1969-01-01,2022-12-01,312,648,336,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Belarus,UN,1980-01-01,2020-06-01,486,378,108,1980-01-01,2020-06-01,378,486,108,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Belgium,HMD,1900-01-01,2023-12-01,1488,1488,0,1900-01-01,2023-12-01,1488,1488,0,1846-01-01,2024-12-01,1846-01-01,2024-12-01
Bermuda,UN,1984-01-01,2023-12-01,480,396,84,1984-01-01,2023-12-01,396,480,84,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Bosnia and Herzegovina,UN,1990-01-01,2010-12-01,252,132,120,1990-01-01,2010-12-01,132,252,120,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Botswana,UN,2017-01-01,2019-12-01,36,36,0,2017-01-01,2019-12-01,36,36,0,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Brazil,UN,2015-01-01,2022-12-01,96,84,12,2015-01-01,2022-12-01,84,96,12,1950-01-01,2023-12-01,1950-01-01,2023-12-01
British Virgin Islands,UN,1971-01-01,2017-12-01,564,204,360,1971-01-01,2017-12-01,204,564,360,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Brunei Darussalam,UN,2013-01-01,2023-12-01,132,132,0,2013-01-01,2023-12-01,132,132,0,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Bulgaria,HMD,1900-01-01,2021-12-01,1464,1080,384,1900-01-01,2025-07-01,1123,1507,384,1946-01-01,2021-12-01,1946-01-01,2023-12-01
Bulgaria,UN,2022-01-01,2025-07-01,43,43,0,1900-01-01,2025-07-01,1123,1507,384,1950-01-01,2023-12-01,1946-01-01,2023-12-01
Cabo Verde,UN,1968-01-01,2023-12-01,672,231,441,1968-01-01,2023-12-01,231,672,441,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Canada,HMD,1921-01-01,2023-12-01,1236,1236,0,1921-01-01,2023-12-01,1236,1236,0,1921-01-01,2024-12-01,1921-01-01,2024-12-01
Cayman Islands,UN,1981-01-01,2023-12-01,516,360,156,1981-01-01,2023-12-01,360,516,156,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Chile,HMD,1947-01-01,2019-12-01,864,864,0,1947-01-01,2021-12-01,900,900,0,1992-04-01,2017-12-01,1950-01-01,2023-12-01
Chile,UN,1967-01-01,2021-12-01,36,36,0,1947-01-01,2021-12-01,900,900,0,1950-01-01,2023-12-01,1950-01-01,2023-12-01
"China, Hong Kong SAR",UN,1973-01-01,2023-12-01,612,600,12,1973-01-01,2023-12-01,600,612,12,1950-01-01,2023-12-01,1950-01-01,2023-12-01
"China, Macao SAR",UN,1971-01-01,2025-04-01,652,566,86,1971-01-01,2025-04-01,566,652,86,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Colombia,UN,2020-01-01,2024-12-01,60,60,0,2020-01-01,2024-12-01,60,60,0,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Cook Islands,UN,1983-01-01,1988-12-01,72,72,0,1983-01-01,1988-12-01,72,72,0,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Costa Rica,UN,1973-01-01,2024-12-01,624,468,156,1973-01-01,2024-12-01,468,624,156,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Croatia,HMD,1950-01-01,2020-12-01,852,852,0,1950-01-01,2023-12-01,888,888,0,2000-12-01,2020-12-01,1950-01-01,2023-12-01
Croatia,UN,2021-01-01,2023-12-01,36,36,0,1950-01-01,2023-12-01,888,888,0,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Cuba,UN,1969-01-01,2023-12-01,660,600,60,1969-01-01,2023-12-01,600,660,60,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Curaçao,UN,2009-01-01,2019-12-01,132,132,0,2009-01-01,2019-12-01,132,132,0,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Cyprus,UN,1973-01-01,2023-12-01,612,600,12,1973-01-01,2023-12-01,600,612,12,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Czechia,HMD,1919-01-01,2021-12-01,1236,1152,84,1919-01-01,2025-06-01,1191,1278,87,1950-01-01,2021-12-01,1950-01-01,2023-12-01
Czechia,UN,2022-01-01,2025-06-01,42,39,3,1919-01-01,2025-06-01,1191,1278,87,1951-01-01,2023-12-01,1950-01-01,2023-12-01
Denmark,HMD,1901-01-01,2024-12-01,1488,1488,0,1901-01-01,2024-12-01,1488,1488,0,1840-01-01,2025-12-01,1840-01-01,2025-12-01
East Germany,HMD,1946-01-01,2020-12-01,900,900,0,1946-01-01,2020-12-01,900,900,0,1955-01-01,2020-12-01,1955-01-01,2020-12-01
Egypt,UN,1972-01-01,2025-05-01,641,589,52,1972-01-01,2025-05-01,589,641,52,1950-01-01,2023-12-01,1950-01-01,2023-12-01
El Salvador,UN,1973-01-01,2018-12-01,552,480,72,1973-01-01,2018-12-01,480,552,72,1950-01-01,2023-12-01,1950-01-01,2023-12-01
England and Wales,HMD,1938-01-01,2022-12-01,1020,1020,0,1938-01-01,2022-12-01,1020,1020,0,1841-01-01,2023-12-01,1841-01-01,2023-12-01
Estonia,HMD,1959-01-01,2019-12-01,732,732,0,1959-01-01,2025-08-01,800,800,0,1959-01-01,2020-12-01,1950-01-01,2023-12-01
Estonia,UN,2020-01-01,2025-08-01,68,68,0,1959-01-01,2025-08-01,800,800,0,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Falkland Islands (Malvinas),UN,1973-01-01,1992-12-01,240,77,163,1973-01-01,1992-12-01,77,240,163,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Faroe Islands,UN,1972-01-01,2024-12-01,636,384,252,1972-01-01,2024-12-01,384,636,252,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Fiji,UN,1972-01-01,2004-12-01,396,132,264,1972-01-01,2004-12-01,132,396,264,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Finland,HMD,1859-01-01,2024-12-01,1992,1992,0,1859-01-01,2025-07-01,1998,1999,1,1878-01-01,2024-12-01,1878-01-01,2024-12-01
Finland,UN,2025-01-01,2025-07-01,7,6,1,1859-01-01,2025-07-01,1998,1999,1,,,,
France,HMD,1861-01-01,2023-12-01,1956,1956,0,1861-01-01,2023-12-01,1956,1956,0,1816-01-01,2024-12-01,1816-01-01,2024-12-01
French Guiana,UN,1970-01-01,2023-12-01,648,300,348,1970-01-01,2023-12-01,300,648,348,1950-01-01,2023-12-01,1950-01-01,2023-12-01
French Polynesia,UN,1985-01-01,2024-12-01,480,192,288,1985-01-01,2024-12-01,192,480,288,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Georgia,UN,1992-01-01,2023-12-01,384,264,120,1992-01-01,2023-12-01,264,384,120,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Germany,HMD,1946-01-01,2020-12-01,900,900,0,1946-01-01,2025-06-01,954,954,0,1990-12-01,2020-12-01,1950-01-01,2023-12-01
Germany,UN,2021-01-01,2025-06-01,54,54,0,1946-01-01,2025-06-01,954,954,0,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Ghana,UN,2001-01-01,2001-12-01,12,12,0,2001-01-01,2001-12-01,12,12,0,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Gibraltar,UN,1971-01-01,2008-12-01,456,336,120,1971-01-01,2008-12-01,336,456,120,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Greece,HMD,1956-01-01,2019-12-01,768,768,0,1956-01-01,2023-12-01,816,816,0,1981-04-01,2020-12-01,1950-01-01,2023-12-01
Greece,UN,2020-01-01,2023-12-01,48,48,0,1956-01-01,2023-12-01,816,816,0,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Greenland,UN,1972-01-01,2019-12-01,576,552,24,1972-01-01,2019-12-01,552,576,24,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Guadeloupe,UN,1970-01-01,2023-12-01,648,300,348,1970-01-01,2023-12-01,300,648,348,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Guam,UN,1971-01-01,2024-12-01,648,336,312,1971-01-01,2024-12-01,336,648,312,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Guatemala,UN,1970-01-01,2024-12-01,660,540,120,1970-01-01,2024-12-01,540,660,120,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Guernsey,UN,1973-01-01,2023-12-01,612,344,268,1973-01-01,2023-12-01,344,612,268,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Guyana,UN,1967-01-01,1971-12-01,60,60,0,1967-01-01,1971-12-01,60,60,0,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Hong Kong,HMD,1971-01-01,2023-12-01,636,636,0,1971-01-01,2023-12-01,636,636,0,1986-01-01,2023-12-01,1986-01-01,2023-12-01
Hungary,HMD,1950-01-01,2020-12-01,852,852,0,1950-01-01,2025-06-01,906,906,0,1950-01-01,2021-12-01,1950-01-01,2023-12-01
Hungary,UN,2021-01-01,2025-06-01,54,54,0,1950-01-01,2025-06-01,906,906,0,1961-01-01,2023-12-01,1950-01-01,2023-12-01
Iceland,HMD,1878-01-01,2023-12-01,1752,1752,0,1878-01-01,2024-12-01,1764,1764,0,1841-01-01,2024-12-01,1841-01-01,2024-12-01
Iceland,UN,2024-01-01,2024-12-01,12,12,0,1878-01-01,2024-12-01,1764,1764,0,,,,
Iran (Islamic Republic of),UN,1973-01-01,2025-07-01,631,167,464,1973-01-01,2025-07-01,167,631,464,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Ireland,HMD,1978-01-01,2022-12-01,540,540,0,1972-01-01,2023-12-01,624,624,0,1951-04-01,2023-12-01,1950-01-01,2023-12-01
Ireland,UN,1972-01-01,2023-12-01,84,84,0,1972-01-01,2023-12-01,624,624,0,1950-01-01,1986-03-01,1950-01-01,2023-12-01
Isle of Man,UN,1971-01-01,2024-12-01,648,312,336,1971-01-01,2024-12-01,312,648,336,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Israel,HMD,1980-01-01,2009-12-01,360,360,0,1971-01-01,2025-06-01,642,654,12,1983-12-01,2016-12-01,1950-01-01,2023-12-01
Israel,UN,1971-01-01,2025-06-01,294,282,12,1971-01-01,2025-06-01,642,654,12,1950-01-01,2023-12-01,1950-01-01,2023-12-01
